common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,has_photo
Bebbs willow,354,Bebb's #1,152,17.0,0.71,9.0,2011,2012,Acles River,Clayhurst,Unknown,,56.501380,-120.152470,769,,On rich floodplain with cottonwood and white spruce. Understory with Calamagrostis canadensis. Rare lichen (Flavopunctelia flaventior) growing on the large Salix bebbiana.,Patrick Williston,,,,Darrell Peters,1
Bebbs willow,355,,130,17.0,0.54,8.0,2011,2012,Acles River,Clayhurst,Unknown,,56.501380,-120.152470,769,,On rich floodplain with cottonwood and white spruce. Understory with Calamagrostis canadensis.,Patrick Williston,,,,Darrell Peters,1
black hawthorn ,356,,33,8.0,1.00,8.9,2013,2013,Esquimalt Lagoon,Colwood,Federal land,,48.427611,-123.474675,,The tree is located on the western shore of Esquimalt Lagoon.  Follow the foot track SE along stream from Royal Roads road system.,Tree has a rounded crown and multiple stems.,Hans Roemer,,,,Hans Roemer,1
bitter cherry*,366,,169,27.1,0.55,14.1,2014,2014,Maplehurst Park,Port Alberni,Provincial land,,49.277890,-124.801550,27.1,"Access is from the trail to Maplehurst Park at the end of Willow Road.
The tree is visible from the trail, but does not have a recognizable trail leading to it yet.","The bitter cherry tree has a fork in log one and a sweep in log two, and some scars.  The big cherry is joined to  a smaller cherry tree above the germination point.  The tree has healthy foliage and good vigor.  Slope: 0-2%,  Aspect: flat.  Thick sword fern, vanilla leaf, Oregon grape, three-leaved foam flower, and red huckleberry.  Mosses: Step moss, Lanky moss, and Oregon beaked moss.  Also maple, alder, Douglas-fir and red cedar.
Ecology:  CWHXM site series 04(80%) 05 (20%)
Moisture and nutrients 2-4/D-E
CWHXM, Costal Western Hemlock, Very Dry Maritime, CWH subzone
Site index is estimated @ 28-30 for this nutrient-rich site.  Windthrow and plellinus root rot.",Judy Carlson,,,,Ainsley Paul Dagg,1
black cottonwood*,388,,599,47.5,3.40,27.5,2015,2014,Tsea Axe River,New Aiyansh,Parks/reserves,Nisga'a Mem. Lava Bed,55.209410,-129.105275,,"The tree is located on the banks of the Tsea Axe River.  It is roughly 700 meters south of the Nisga highway before the Tsea Axe River bridge heading towards the New Aiyansh turn-off. The tree appears to be a large grove visible from the highway, yet it is just one giant tree.","The tree is double stemmed starting 3 meters from the base, with a large crack extending to the ground. The tree is very healthy with an amazing spread on the crown and a very large eagles nest near the top of the crown. The tree is essentially surrounded by a large lava bed from a volcano that erupted 300 years ago.",Mike Plunkard,,,,Mike Plunkard,1
arbutus,423,Cloake Hill Colossus,388,39.3,1.92,27.1,2016,2016,Cloake Hill,North Saanich,Private land,,48.688350,-123.442833,104,"The tree is near the intersection of Hillgrove Rd. and Sumac Dr. in North Saanich, approximately 150m west of Sumac and 50m north of Hillgrove.  The property is sign posted private property but public access is permitted by Strata #804.",The tree branches into three vertical columns at approximately 1.5 meters.  It is in good health.  The terrain is gentle to moderate slope (3-12%) with numerous gaps and openings.   A couple of fir trees are growing up with in its canopy.,Ray Rogers,,,,Gordon Joyce,1
Pacific dogwood,424,,173,16.4,0.83,18.9,2015,2016,Englishman R.,Parksville,Private land,,no access,,15,The tree is located next to driveway on 598 Martindale Road in Parksville.  Please respect private property and view the tree from the road.,"The tree appears healthy; likely some decay in the lower trunk from a few small cavities from cut off branches.  The tree is forked into 5 main branches.  Tree is open grown in the middle of a grassy yard, the crown touches some conifers on the one side at the fence.  The site is flat.  It is believed that the tree was dug up from its natural location near Horne Lake and planted in the yard in the mid- to late-1960's.",Fiona Auerbach,,,,Bill Beese,1
trembling aspen^,436,,190,27.1,0.75,10.2,2016,2016,Klinaklini Valley,Tatla Lake,Institution/corp.,Nature Conservancy of CA,51.920219,-125.229766,2503,This tree is in a very remote location. Access is approximately 23 km SSW of Hwy 20 by rough ATV track starting at the Kleena Kleene landfill site.,The tree appears to be in good health with no distinguishing characteristics other than its size. This tree is shorter than nearby trees but has a larger diameter.,Peter Shaughnessy,,,,Joe Cortese,1
trembling aspen^,437,,186,30.2,0.65,7.6,2016,2016,Klinaklini Valley,Tatla Lake,Institution/corp.,Nature Conservancy of CA,51.920196,-125.230007,2503,This tree is in a remote location. Access is by rough ATV track starting at the Kleena Kleene landfill site along Hwy. 20. The tree is situated approximately 23 km ssw from there.,The tree was generally in good health.,Peter Shaughnessy,,,,Joe Cortese,1
bigleaf maple,448,Wesbrook Ravine Maple,316,46.7,1.20,17.6,2016,2019,Wesbrook Ravine,Vancouver,Municipal/city,Pacific Spirit Park,49.244761,-123.234167,60,"From intersection of Wesbrook and Marine Drive, old-growth forest is seen around ravine bowl to the south. This tree is on the right side of the bowl and is not very notable until you see that the highest branch reaches very high.",Grows on moderate slope in old forest. Sandy soil with some erosion. Very upright stem for species - forest grown. First branch at 18.7m. Main stem broken at around 30m. Secondary leader reaches upwards into canopy gap and has thick foliage. Good vigour overall. Minor exposure.,Ira Sutherland,,,,Ira Sutherland,1
bigleaf maple,452,Woolly Giant,369,24.1,2.16,26.1,2019,2019,Mossome Grove,Port Renfrew,Woodlot Lic.,1957,hidden,,,Near the San Juan Giant (ID# 175),The most notable feature of this super shaggy maple tree is an enormously long branch the extends roughly 20m out from the trunk of the tree!!,TJ Watt,Ken Wu,Andrea Inness,,A MacKinnon,1
trembling aspen^,466,,192,30.2,0.69,9.5,2019,2019,Kimberley Nature Park,Kimberley,Provincial land,,49.520973,-116.002753,1016,"Take Highway 95A South from Kimberley's downtown for 5.7 kms, then turn right onto St. Mary Lake Road.  Park at Campground trailhead on North side of St. Mary Lake Road at approximately 3km. 500m hike or bike to Hoodoo View Trail junction and 100m to creek crossing.","One of more large limbs have broken off near the top, affecting canopy size and shape. Live crown is quite small, and one branch and gap in the crown are visible on the City airphoto.  This tree is one of two aspen trees growing right on a creek.  The creek goes underground just past a footbridge, then comes out in a small channel right under this tree. ",Dave Hale,,,,Dave Hale,1
bitter cherry*,467,,144,25.1,0.44,8.0,2019,2019,Englishman R. Estuary,Parksville,Parks/reserves,Nature Trust of BC,49.192434,-124.173721,3,"Parksville B.C. East end of Shelly Road. 300 meters from the parking lot along the main trail on the left hand side of the trail, adjacent to the trail.","Forked stem at 10 meters.  Some sapsucker evidence. Surrounded by Coastal Douglas Fir second growth ecosystem with Grand Fir, Western Red Cedar, Red Alder and Bigleaf Maple. Adjacent to the Englishman River Estuary, very fertile good growing site, flat aspect and no slope.",Gary Murdock,,,,Gary Murdock,1
black cottonwood^,468,,294,42.3,1.14,18.0,2019,2019,Lois Cr. Trails,Kimberley,Tree Farm Lic.,,49.718235,-115.969721,1216,"From downtown Kimberley drive up to the townsite area, past the Kimberley Medical Clinic.  Access the Lois Cr. Trails from the 8th and Elko trailhead.  Take Bart's out to P Junction (2.1 km).  Then follow A Frame north for about 1.2 km.  The Big Tree is located just past another cotttonwood which is right on the trail.   The tree is about 50m before a long boardwalk and 15m in from the trail, near a fallen spruce. ","Large burl and fungus shown on photo. This tree is located within a wet meadow with spruce and cedar in an uncut reserve  between logged areas.  The meadow forms an unusual shape as it runs just north and east of a very sharp, forested ridge. The lower few branches are dead, live above 13m, and the main trunk starts to branch at 16m+.",Dave Hale,,,,Dave Hale,1
bigleaf maple,480,,317,38.1,1.43,18.5,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.298782,-123.130667,40,"10m west from Avison Way, just north of intersection with a trail located about 150m south of Aquarium. Refer to gps coordinates. ",,Ira Sutherland,,,,Ira Sutherland,0
bigleaf maple,522,Mossy Maple,,0.0,2.28,0.0,2020,2020,Mossy Maple Grove,Lake Cowichan,Institution/corp.,TimberWest,hidden,,,,A large bigleaf maple with a split trunk. Half appears to be dead but the other part is alive.,TJ Watt,,,,,1
vine maple,552,,80,12.8,0.26,6.8,2020,2020,Mundy Park,Coquitlam,Parks/reserves,Municipal Park,49.261940,-122.828810,,Follow the Perimeter Trail and the tree is next to a rotting Fir stump at the the northwest corner of the park. There is an entrance off of Como Lake.,"This Vine Maple is in very healthy condition and it leans over the trail. The height is to the tallest branch growing up. The tree itself may be longer than this but in many cases, it grows every where. It would be nice to have a tag on it or at least have the municipal government recognize the tree. Especially since many Vine Maples have bent to the recent snow storm and will be removed. ",Shaun Muc,,,,Shaun Muc,1
paper birch^,556,Silverton Birch,290,26.0,1.47,28.0,2020,2020,Silverton,Fernie,Private land,,49.595138,-117.359444,530,"Private land - please respect private property and view from a distance.  Tree is at 314 Hunter Street, Silverton.","Urban tree, unknown whether it was planted or perhaps preserved from native site clearing when the property was developed.",Terry Nelson,,,,,1
paper birch^,557,Army Birch,219,22.3,1.04,21.8,2020,2020,Mount Proctor,Fernie,Provincial land,,49.530555,-115.063888,1110,"The path to the tree can be found by starting at the Visitor Information Centre trailhead, and by following the Mt. Proctor Trails signage. The trail signage now directs you away from this area, however once you come out into the meadow opening, go up the hill towards the cow fence that is visible above. When you cross through the turnstile in the barb wire fence turn right, where the old trail passes through above the meadow area, and then comes to a 3 way junction, where you will take the left arm. As the trail has been recently re-routed, it does not see as much traffic, and will quickly become overgrown, so keep your senses heightened. Not too far up from the junction,  the “Big Birch” holds its place of reverence right beside the trail.",,Terry Nelson,,,,,1
arbutus,562,,362,21.2,2.20,25.8,2020,2020,East Saanich Road,Saanichton,Municipal/city,,48.608530,-123.421130,,Right off footpath that runs parallel to East Saanich Road. Easily accessible.,"Height to dead top 26.2, height to live top 21.2",Simon Lightbody,,,,Roemer/McIlvaney,1
