common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,has_photo
coastal Douglas-fir,206,Caycuse Mainline Fir,615,67.1,3.05,21.9,2000,2000,Caycuse Mainline,Youbou,Provincial land,,missing,,,,Broken top.,Ralf Kelman,,,,Ralf Kelman,0
paper birch*,207,,280,19.8,1.63,16.8,2001,2001,Sumas - Fraser R.,Chilliwack,Private land,,missing,,,Private land - please respect private property and view from a distance.  Tree is next to DNP land and CNR railway near Cannor Rd in Greendale. See access map.,"Healthy, multi-topped with some dead tops.",Shaun Muc,,,,Shaun Muc,1
bitter cherry*,208,,181,18.9,0.86,15.8,2000,2000,Phipps Exchange,North Vancouver,Municipal/city,,missing,,,District of North Vancouver land near Phipps Exchange bus stop. It is a short distance west on a lot with a number of cherry trees.,Very healthy with many branches and a terrific crown.,Ralf Kelman,,,,Ralf Kelman,1
black cottonwood*,210,,545,34.7,3.33,22.6,2001,2000,Sumas River,Chilliwack,Provincial land,,49.136214,-122.076735,,"Near the Sumas River and CNR railway trachs and bridge on Defense (DND) land, west of Chilliwack.","Very old and damaged, but living with new leaders.  Tree lost one of five trunks, looks like a multi-trunked giant maple, broken top. CWHdm.",Ralf Kelman,Robert Van Pelt,Shaun Muc,,Ralf Kelman,1
black cottonwood*,211,,528,42.1,3,22.6,2001,2000,Sumas River,Chilliwack,Provincial land,,49.135891,-122.076838,,"Near the Sumas River and CNR railway trachs and bridge on Defense (DND) land, west of Chilliwack.",Massive single trunk to broken top with big new leader. CWHdm.,Ralf Kelman,Robert Van Pelt,Shaun Muc,,Ralf Kelman,1
bigleaf maple,212,,318,42.7,1.28,24.4,2000,2000,Roche Point,North Vancouver,Municipal/city,,49.308685,-122.966379,,Tree on district land south of Seymour Gold Course.,"Healthy, excellent crown.",Ralf Kelman,,,,Ralf Kelman,1
interior Douglas-fir,213,,375,47,1.7,12.2,2019,2000,Hwy 3,Princeton,Provincial land,,49.40292,-120.56625,,"Beside Hwy#3, 15 km west of Princeton, clinging to hillside beside highway.","This tree report dead in 2019 (struck by lightening). Previous site notes from 2000: Healthy, ancient full tree clinging to hillside. Bark is scorched.",Shaun Muc,,,,Amanda Lewis,1
Ponderosa pine,215,,321,32.3,1.58,23.5,2000,2000,Otter Creek,Merritt,Private land,,49.855887,-120.634767,,"Highway 5A, 10 km south of Aspen Grove, close to Otter Creek. North of Tulameen around 40 km.","Ancient, thick stocky tree with a small dead top and massive crown. IDFdk1",Shaun Muc,,,,Shaun Muc,1
Ponderosa pine,217,,323,33.8,1.57,21.6,2000,2000,Hwy 3,Bridesville,Private land,,hidden,,,Private land - exact location is withheld.,"Healthy , large branches, popular bird tree.   IDFdm1",Steven Keast,Shaun Muc,,,Shaun Muc,1
interior Douglas-fir,218,,368,36.9,1.9,14,2000,2000,Hembrie Ridge,Princeton,Provincial land,,49.562902,-120.485494,,North of Princeton.,This ancient tree has a broken top.,Shaun Muc,,,,Shaun Muc,1
interior Douglas-fir,219,,354,40.5,1.71,11.9,2000,2000,Hembrie Ridge,Princeton,Provincial land,,49.562974,-120.48535,,North of Princeton.,"An old, full and healthy tree.",Shaun Muc,,,,Shaun Muc,1
interior Douglas-fir,220,,379,37.5,1.94,19.8,2000,2000,Bridesville,Bridesville,Private land,,hidden,,,Private land - exact location is withheld.,Healthy with massive branches and crown.,Rick and Josh Rexin,,,,Shaun Muc,1
bigleaf maple,222,,438,27.7,2.64,24.1,2000,2000,Miracle Valley,Durieu,Private land,,49.199251,-122.259822,,"Private land - please respect private property and view from a distance.  
Tree is near Dale Rd. and Stave Lake Rd., south west of Durieu.","Healthy, thick swollen base. Sitting beside four large firs.",Shaun Muc,,,,Shaun Muc,1
Ponderosa pine,223,,341,32.9,1.75,19.8,2000,2000,Lundbom Lake,Merritt,Parks/reserves,Lundbom Comm. GR.,50.120215,-120.597977,,"Lundbom Rd., off of highway 97C, east of Merritt.",Old gnarly giant with 3 massive limbs and dead top. IDFdk1,Shaun Muc,,,,Shaun Muc,1
vine maple,224,,98,18.3,0.24,9.4,2000,2000,Woodhaven Swamp,Belcarra,Parks/reserves,Belcarra RP,49.311348,-122.91762,,SW corner of Woodhaven Swamp in Belcarra Regional Park (see access map).,"Tree runs up hill in an arc, large crown branching in all directions. Tree is in a grove of 4, all over 2 feet circumference. CWHdm.",Shaun Muc,,,,Shaun Muc,1
Ponderosa pine,225,,305,30.8,1.51,20.4,2000,2000,Hembrie Ridge,Princeton,Provincial land,,49.562939,-120.485354,,North of Princeton.,"Ancient, large crown, stocky for large bole. IDFdk1",Shaun Muc,,,,Shaun Muc,1
Ponderosa pine,226,,334,38.7,1.55,17.7,2000,2000,Shatford Creek,Penticton,First Nations,Penticton IR,missing,,,First Nation Reserve - please contact First Nations for permission.  Near Shatford Creek up the slope north of Hedges Butte.,,Shaun Muc,,,,Shaun Muc,1
Ponderosa pine,227,,310,25.6,1.67,23.2,2000,2000,Beaver Lake Rd.,Winfield,Private land,,missing,,,Private land - please respect private property and view from a distance.  Off Beaver Lake Rd.,"Short, but healthy trunk. Massive limbs and crown.",Shaun Muc,,,,Shaun Muc,1
black cottonwood*,228,,363,57.6,1.31,14.6,2000,1993,Skagit River  ER,Hope,Parks/reserves,Skagit R. Cottonwoods ER,missing,,,The ecological reserve is in Skagit Valley Provincial Park on the Whatcom Trail.,"Healthy, narrow crown.",Randy Stoltmann,,,,Shaun Muc,1
coastal Douglas-fir,229,,553,60.4,2.75,18.3,2000,2000,Kitty Coleman PP,Merville,Parks/reserves,Kitty Coleman PP,49.78694,-124.9936,,,Healthy.  Tree was used in a logging operation years ago.  An active eagle nest at top.,Wayne Steele,,,,Shaun Muc,0
lodgepole pine,230,,,46.3,,,2000,2000,Mount Frosty,Hope,Parks/reserves,EC Manning PP,49.047583,-120.836267,1250,,"ESSFmw, montane.",Gordon Weetman,,,,Gordon Weetman,0
Pacific dogwood,231,,222,26.8,0.97,16.5,2000,2000,Burgoyne Bay,Salt Spring Island,Institution/corp.,Texada Land Corp.,48.793141,-123.50981,,,Private land - please respect private property and view from a distance.  Healthy.  Trunk forms 3 stems above 1.37 m; main leader broken off; 2 remaining stems are vigorous.,Kathy Dunster,,,,Kathy Dunster,1
arbutus,233,,344,22.9,2.03,21.3,2000,2000,North End Rd.,Salt Spring Island,Private land,,48.881067,-123.530349,,Private land - please respect private property and view from a distance.  The tree is at 1077 North End Rd.,Healthy.,Karl Fuss,,,,Gerard Blom,0
arbutus,234,,338,26.5,1.86,25.2,2000,2000,Burgoyne Bay,Salt Spring Island,Institution/corp.,Texada Land Corp.,48.801644,-123.528275,,Private land - please respect private property and view from a distance.,,Kathy Dunster,,,,Kathy Dunster,0
western redcedar*,235,French Creek Cedar,634,58.8,3.5,9.1,2001,2000,QB Airport,Qualicum Beach,Municipal/city,Qualicum Beach,49.335666,-124.380327,,The tree is approximately 1 km north east of the east end of airport runway.,"A residual tree left at the time of fairly extensive logging approximately 80 to 100 years ago. Tree has a spike top of approximately 50 feet that does not appear to be broken, and has some folds and cracks on the stem that would indicate some defect.",E.S. Reid, Bob Steele,James Kayll,Frank Collins,E.S. Reid,1
Garry oak,236,,314,25,1.74,20.1,2008,2000,Falkland Rd.,Oak Bay,Municipal/city,Municipality of Oak Bay,48.414476,-123.320353,,"Near Beach Drive, on boulevard.",Some butt rot.  Healthy crown. Lopsided tree. CDFmm.,Leonard McMahon,,,,Not known,1
Douglas maple^,237,,101,14,0.39,8,2000,2000,Rose Valley Lake,Kelowna,Provincial land,,49.892323,-119.572246,,South of Rose Valley Lake.,Very healthy. There is another big tree right beside this one.,Ted Lea,Carmen Cadrin,,,Ted Lea,1
Pacific yew*,238,,132,13.3,0.61,14,2000,2000,S Shawnigan L.,Shawnigan Lake,Institution/corp.,Weyerhaeuser,48.593618,-123.625833,,On swampy ground at extreme south end of Shawnigan Lake (see access map).,Healthy. On swampy ground. CWHxm1,Rod Garbutt,,,,Rod Garbutt,0
Pacific yew*,239,,142,18.6,0.58,11.4,2000,2000,S Shawnigan L.,Shawnigan Lake,Institution/corp.,Weyerhaeuser,48.593067,-123.626718,,On swampy ground at extreme south end of Shawnigan Lake (see access map).,"Healthy. Unidentified fungal conk on bole indicating advanced heart rot, but this is normal for trees of this age and it maintains a vigorous crown. On swampy ground. CWHxm1",Rod Garbutt,,,,Rod Garbutt,0
Pacific yew*,240,,143,17.7,0.6,13.6,2000,2000,S Shawnigan L.,Shawnigan Lake,Institution/corp.,Weyerhaeuser,48.593563,-123.623371,,On swampy ground at extreme south end of Shawnigan Lake (see access map).,Healthy. On swampy ground. CWHxm1,Rod Garbutt,,,,Rod Garbutt,0
choke cherry,242,,71,10.7,0.28,1.5,2000,2000,Kalamoir RP,Kelowna,Parks/reserves,Kalamoir RP,49.849737,-119.544845,,Near base of road from Lakeview Heights.,Healthy.,Ted Lea,,,,Ted Lea,1
Sitka spruce,243,,601,42.2,3.63,17,2000,2000,Radley Park,Kitimat,Parks/reserves,Radley RP,54.051843,-128.680561,,,Broken top at 42.4 m. Conks at the base.,Dirk Mendel,,,,Dirk Mendel,1
Sitka spruce,244,,452,74.2,1.62,9,2000,2000,Radley Park,Kitimat,Parks/reserves,Radley RP,54.052229,-128.680249,,,,Dirk Mendel,,,,Dirk Mendel,1
Pacific yew*,245,,113,13.1,0.52,7,2000,2000,Kalitan Rd.,North Saanich,Private land,,missing,,,Private land - please respect private property and view from a distance.,"Good condition, several significant limbs improperly removed from the NE side leaving some unsightly stubs.",Diane Thorp,,,,Dorothy Harleborre,0
coastal Douglas-fir,246,,474,68.9,1.94,9.1,2002,2002,Matheson Lake,Metchosin,Private land,,missing,,,,,Al Carder,,,,Al Carder,0
western hemlock*,247,,339,33.5,1.75,15.2,2006,2001,Montizambert Cr.,North Vancouver,Parks/reserves,Cypress PP,missing,,,Montizambert Creek located in Cypress Provincial Park.,,Ralf Kelman,,,,Ralf Kelman,0
coastal Douglas-fir,248,Elk Creek Fir,639,85.3,2.76,22.3,2001,2001,Elk Creek,Chilliwack,Provincial land,,missing,,,"West side of Elk Creek, Chilliwack District watershed.",Very healthy with broken top and big crown.,Shaun Muc,Ralph Kelman,Clint Marvin,,Shaun Muc,1
interior Douglas-fir,251,,388,42.1,1.9,17.7,2001,2001,Kane Valley Rd.,Merritt,Private land,,49.931992,-120.746366,,"Private land - please respect private property and view from a distance.  Tree is on Kane Valley Road, 11 km east of Kingsvale off the Coquihalla Hwy, 400m off the road on the south side.","S-curve at the top, dead top, large bole.",Shaun Muc,,,,Shaun Muc,1
trembling aspen*,252,Lannan Aspen #2,191,32.4,0.62,9.3,2003,2003,Lannan Forest,Courtenay,Unknown,,49.704517,-124.9443,,When nominated the tree was located in the Lannan Forest.  Current tree and landownership status is unknown.,Lost large 20+ branch that reduced crown spread.,Chris Walther,,,,Chris Walther,0
Douglas maple*,253,,111,18,0.36,7.9,2001,2001,Lakelse Lake,Terrace,Parks/reserves,Lakelse Lake PP,missing,,,Lakelse Lake PP near site 21.,Healthy.,Brandin Schultz,,,,Brandin Schultz,0
Douglas maple*,254,,96,15,0.31,9,2001,2001,Lakelse Lake,Terrace,Parks/reserves,Lakelse Lake PP,missing,,,"Lakelse Lake PP, near site 21.",Healthy.,Brandin Schultz,,,,Brandin Schultz,0
bigleaf maple,255,Beaton's Maple,403,26.1,2.36,31.1,2001,2001,Emmonds R.,Powell River,Private land,,missing,,,,,Ian Beaton,,,,R. Brewer,1
Sitka spruce,256,,491,68.9,2.05,14.6,2001,2001,Little Qualicum R.,Nanaimo,Municipal/city,Newcastle Land District,49.358365,-124.489005,,"Little Qualicum River floodplain is on District lot 76, lot 6, Newcastle Land District of BC.","Very healthy. The height to circumference ratio indicates the possibility of superior genetics. There is a spruce grove on this property and adjoining properties of up to 300 trees of all ages, all very tall indicating the possibility of resistance to the spruce leader weevil. There is no indication of leader weevil damage.  Small circumference for a Sitka spruce, likely due to it being in a dry subzone of the CDF zone.",Gary Murdock,,,,Gary Murdock,0
trembling aspen^,257,,229,33,0.95,5,2001,2001,Fred Nelson Cr.,Chetwynd,Provincial land,,missing,,,"It is located next to Hwy 97, 50 km west of Chetwynd and approximately 0.5 km west of Fred Nelson Creek.","Healthy. Tree has a lean to the north and is quite old with butt rot and ant activity evident. It is in a stand of 7 large aspen trees (5 standing and 2 down). The measurements for the other 4 healthy trees (in meters) are: cir 2.9, ht 33, crown 4; cir 2.07, ht 34.6, crown 4; cir 2.01, ht 34.6, crown 3; cir 2.49, ht 28.5, crown 4.",D. Parminter,,,,D. Parminter,0
coastal Douglas-fir,262,,521,41.1,3.01,17.4,2002,2002,Francis-King RP,Saanich,Parks/reserves,Francis-King RP,missing,,,"From Nature House, cross road, take trail down - 3rd big tree on right of trail.",,Hans Roemer,,,,Hans Roemer,0
Garry oak,263,,295,26.5,1.55,19.5,2002,2002,Lovat Ave.,Victoria,Private land,,missing,,,"Private land - please respect private property and view from a distance.  Tree is at 3498 Lovat Ave., Victoria; in the parking lot of apartment buildings.",Healthy.,Hans Roemer,,,,Hans Roemer,0
Garry oak,264,,229,18.6,1.18,26.2,2001,2001,Ash Rd.,Victoria,Private land,,missing,,,Private land - please respect private property and view from a distance.  Tree is at 1555 Ash Rd. at back of property.,Healthy.,Hans Roemer,,,,Hans Roemer,0
coastal Douglas-fir,265,,545,73.1,2.35,18.5,2002,2002,John Dean PP,North Saanich,Parks/reserves,John Dean PP,missing,,,"From parking lot take trail down past former picnic ground, then take first trail on right marked “closed” ca. 28 m. Largest diameter tree on path, next to medium cedar.",Healthy. Tree bent to the SW.,Hans Roemer,,,,Hans Roemer,0
coastal Douglas-fir,266,,487,64.9,2.11,16,2002,2002,John Dean PP,North Saanich,Parks/reserves,John Dean PP,missing,,,From #2 tree go uphill short distance in direction of parking lot. Tree has large wound on NW side.,Some dead top branches.,Hans Roemer,,,,Hans Roemer,0
coastal Douglas-fir,267,,479,67.7,1.97,17,2002,2002,John Dean PP,North Saanich,Parks/reserves,John Dean PP,missing,,,"From parking lot take trail down to former picnic ground, growing somewhat of an opening.",Healthy.,Hans Roemer,,,,Hans Roemer,0
coastal Douglas-fir,268,,470,69.1,1.82,21.5,2002,2002,John Dean PP,North Saanich,Parks/reserves,John Dean PP,missing,,,From parking lot take trail down to former picnic ground. Closest large tree to the north of picnic ground.,Healthy.,Hans Roemer,,,,Hans Roemer,0
coastal Douglas-fir,270,,465,69.2,1.81,16.5,2002,2002,John Dean PP,North Saanich,Parks/reserves,John Dean PP,missing,,,From #3 tree towards pond. The northerly of two firs standing close to each other with intertwined crowns.,Healthy.,Hans Roemer,,,,Hans Roemer,0
coastal Douglas-fir,271,,438,65.1,1.7,16,2002,2002,John Dean PP,North Saanich,Parks/reserves,John Dean PP,missing,,,"From parking lot take trail down past former picnic ground, then take first trail on road marked “closed” down almost to culvert. Free standing tree in draw on right.",Healthy.,Hans Roemer,,,,Hans Roemer,0
coastal Douglas-fir,273,Bonin Giant,726,65.8,3.98,21.9,2002,2002,Watershed,Coquitlam,Watersheds,Coquitlam Watershed,missing,,,No public access,Healthy with broken top and a high wood volume.  Base covered in debris.,Ralf Kelman,,,,Ralf Kelman,1
coastal Douglas-fir,274,Alexander Giant,628,66.4,3.16,22.6,2002,2002,Watershed,Coquitlam,Watersheds,Coquitlam Watershed,missing,,,No public access,,Derek Bonin,,,,Ralf Kelman,1
coastal Douglas-fir,275,Temple Giant,675,85.3,3.05,21.9,2002,2002,Lower Seymour CR,North Vancouver,Parks/reserves,Lower Seymour CR,49.394866,-123.005426,,Temples of Time Grove.  5 km west of mainline.,Big healthy crown with a  high wood volume.  This tree was found with a wind damaged top at 280’.  It is estimated to have been over 300' tall.  Steep slope.,Ralf Kelman,,,,Ralf Kelman,1
Garry oak,276,,317,30.2,1.62,21.9,2002,2002,Quamichan Lake,Maple Bay,Private land,,hidden,,,Private land - exact location is withheld.,"This tree is moderately healthy, with broken vertical limbs. This tree is located on a private nature reserve.  The exact location is withheld, however the Nature Conservancy of Canada offers public tours and guided trips to the tree.   For more information please contact the NCC-BC Region Headquarters in Victoria (250) 479-3191 or bcoffice@natureconservancy.ca.",Tim Ennis,,,,Kevin Brown,1
Garry oak,277,,300,21.5,1.71,21.8,2002,2002,Quamichan Lake,Maple Bay,Private land,,missing,,,Private land - exact location is withheld.,Very healthy.,Jim Shockey,,,,Kevin Brown,0
trembling aspen^,279,,194,28.7,0.74,10.1,2002,2002,Okanagan Falls,Okanagan Falls,Unknown,,missing,,,15 km east of Okanagan Falls.,,Shaun Muc,,,,Shaun Muc,0
subalpine fir^,280,,228,39.2,0.76,6,2002,2002,Takla Lake,Smithers,Provincial land,,missing,,,Takla Lake is next to Mt. Blanchet Provincial Park. Km 85.5 driftwood FSR connector.,"Healthy, conical form.",Donald Skinner,,,,Donald Skinner,0
arbutus,281,,396,34.4,2.16,19.8,2002,2002,Nanoose Transmit,Parksville,Woodlot Lic.,13,49.27415,-124.222067,,"Nanoose Transmitter Site, Woodlot #13.",Healthy.,Tom Gray,,,,Tom Gray,0
subalpine larch,282,,,,1.05,,2002,2002,Cathedral PP,Keremeos,Parks/reserves,Cathedral PP,missing,,,"On the East side of Ladyslipper Trail, half way between Ladyslipper Lake and Pyramid Lake in Cathedral Provincial Park.",Healthy. A very large branch comes off the trunk 4 meters above the ground.,David and Bernice Doyle,,,,,0
subalpine larch,283,,,,0.96,,2002,2002,Cathedral PP,Keremeos,Parks/reserves,Cathedral PP,missing,,,"On the East side of Ladyslipper Trail, half way between Ladyslipper Lake and Pyramid Lake in Cathedral Provincial Park.",Healthy with broken top.,David and Bernice Doyle,,,,,0
Pacific yew*,284,,,,0.63,,2002,2002,Chatham Island,Oak Bay,First Nations,,missing,,,"First Nation Reserve - please contact First Nations for permission.  Tree is on the west side of Chatham Island, off Oak Bay. At edge of beach, in full sun in open field. Easily visible from a boat.",Healthy.,Bruce Whittington,,,,,0
grand fir*,286,,444,70.4,1.65,11,2003,2003,Koksilah River PP,Shawnigan Lake,Parks/reserves,Koksilah River PP,missing,,,"Located 3.5km upstream of Burnt Bridge and 0.9km NW of NW corner of Grant Lake. Ca. 15m from river bank next to hollow, live CW.",Top of crown is thinning out.,Hans Roemer,,,,Hans Roemer,0
grand fir*,287,,421,71,1.46,7.9,2003,2003,Goldstream PP,Langford,Parks/reserves,Goldstream PP,missing,,,"On edge of pavement between bridge and Mt. Finlayson trailhead, on right (SE) side of road.",Double-top (forked).,Hans Roemer,,,,Hans Roemer,0
Pacific crab apple,289,Lannan Crabapple,114,15.7,0.41,13.4,2003,2003,Lannan Forest,Courtenay,Unknown,,49.704275,-124.941072,,When nominated the tree was located in the Lannan Forest. Current tree and landownership status is unknown.,"Some rotten branches, otherwise healthy.",Diana Caldwell,,,,Chris Walther,0
cascara*,290,,111,17.8,0.35,12.4,2003,2003,Lannan Forest,Courtenay,Unknown,,49.704975,-124.941211,,When nominated the tree was located in the Lannan Forest. Current tree and landownership status is unknown.,Healthy.,Shirley Ward,,,,Chris Walther,0
trembling aspen*,291,Lannan Aspen #1,178,31.6,0.52,12.6,2003,2003,Lannan Forest,Courtenay,Unknown,,missing,,,When nominated the tree was located in the Lannan Forest. Current tree and landownership status is unknown.,Bracket fungus on trunk at 1.2 m height.,Ryan Hildegard,,,,Chris Walther,0
black cottonwood*,292,,459,50.1,2.2,28,2014,2003,Landstrom Bar,Hope,Provincial land,,49.3788,-121.4686,25,"Tree is located just south of the old KVR rail line, the line can be accessed from Highway 7 or from the trail at the end of Landstrom Road (see the trail and topographic access maps).  Near Hope - NTS92 H/6 west side.",Healthy.,Anthony Dal Bello,,,,Anthony Dal Bello,1
interior Douglas-fir,293,Gigi’s Giant,384,45.6,1.79,11.1,2019,2003,Lower Goat R. Trail,Crescent Spur,Provincial land,McBride Comm. For.,53.53297,-120.65247,815,The tree is located 3.8 km south along Lower Goat River trail (aka. Lasalle Lakes Trail) from Crescent spur trail head (east end of Prospect Rd.).  See access maps for more details.,"Healthy, but with several fungal fruiting bodies on forest floor around base, believed to be Polyporus schweinitzii. No broken tops, burls, or stem conks. Ground generally level. Mixed ICH moist forest.",Roy Howard,,,,Roy Howard,1
yellow-cedar*,294,Corporal Anderson,533,37.4,3.23,11.7,2005,2005,White River,Sayward,Tree Farm Lic.,39,missing,,,"White River ""A Branch"" (A600).","Broken, dead top. Tree is leaning ~15°, 110° east. Located 10 m from edge of Wildlife Tree patch.",Dan Wagar,,,,Bill Beese,0
Pacific yew*,295,,169,21.3,0.73,11,2006,2006,NW Coquitlam Lake,Coquitlam,Watersheds,Coquitlam Watershed,missing,,,No public access,,Derek Bonin,,,,Ralf Kelman,0
coastal Douglas-fir,296,,625,76.2,2.91,18.3,2006,2006,NW Coquitlam Lake,Coquitlam,Watersheds,Coquitlam Watershed,missing,,,No public access,,Derek Bonin,,,,Ralf Kelman,0
yellow-cedar*,297,Sir Daniel Samson,618,46.4,3.69,12.2,2006,2006,Tlowils Lake,Sayward,Tree Farm Lic.,39,50.277199,-126.005075,,"Between White R. and Adam R., north of Tlowils Lake; south of Sayward.",Old tree with a dead top.,Wayne Nikolaisen,Tyson Knowles,,,Bill Beese,1
western redcedar*,298,Goliath,621,56.5,3.43,14.3,2005,2005,Campbell River,Campbell River,Institution/corp.,Brascan Is. Timberlands,missing,,,Just south of Campbell River.,,Bryce Saarela,Marcel Mousseau,,,Bryce Saarela,0
Pacific crab apple,300,,154,11.6,0.78,23.2,2006,2006,Shell Rd,Richmond,Municipal/city,,missing,,,South end of Shell Rd. in Richmond.,,Ralf Kelman,,,,Ralf Kelman,0
paper birch*,301,,246,33.5,0.94,24.4,2006,2006,Musquem Park,Vancouver,Parks/reserves,Musquem Park,missing,,,West side of creek in Musqueum Park.,,Ralf Kelman,,,,Ralf Kelman,0
paper birch*,302,,225,30.8,0.89,17.1,2006,2006,Musquem Park,Vancouver,Parks/reserves,Musquem Park,49.232487,-123.194564,,East side of creek in Musqueum Park.,,Ralf Kelman,,,,Ralf Kelman,1
grand fir*,303,,410,62.8,1.58,9.8,2006,2006,Wreck Beach,Vancouver,Parks/reserves,Pacific Spirit RP,missing,,,"North of trail #7 at Wreck Beach, located in Pacific Spirit Regional Park.",,Greg Stoltmann,,,,Ralf Kelman,0
grand fir*,304,,392,61.9,1.46,11,2006,2006,Wreck Beach,Vancouver,Parks/reserves,Pacific Spirit RP,missing,,,"North of trail #7 at Wreck Beach, located in Pacific Spirit Regional Park.",,Greg Stoltmann,,,,Ralf Kelman,0
black hawthorn ,305,,119,12.8,0.57,8.5,2006,2006,Ironwood Grove,Richmond,Municipal/city,,missing,,,"South end of Shell Rd., Richmond.",,Mary Jewell,,,,Ralf Kelman,0
black hawthorn ,306,,110,12.2,0.5,9.8,2006,2006,Granville Island,Vancouver,Municipal/city,City of Vancouver,missing,,,South of historic railway tracks near station at Granville Island.,,Mary Jewell,,,,Ralf Kelman,0
shining willow*,307,,135,18.3,0.53,11,2006,2006,Point Grey,Vancouver,Municipal/city,City of Vancouver,missing,,,"Point Grey, North of Aberthau Community Centre.",,Mary Jewell,,,,Ralph Kelman,0
Scoulers willow,308,,120,10.7,0.69,0,2006,2006,Point Grey,Vancouver,Municipal/city,City of Vancouver,missing,,,"Point Grey, North of Aberthau Community Centre.",,Mary Jewell,,,,Ralf Kelman,0
Sitka spruce,309,Braedon and Toby Tree,728,78.5,3.69,16,2011,2009,Yakoun R.,Queen Charlotte,Provincial land,,53.434111,-132.277361,,Yakoun River floodplain flats.  Approx 30 kms north of Queen Charlotte City off Q.C. mainline logging road.,Healthy.,Michael Carlson,,,,Michael Carlson,0
Sitka spruce,311,Alma and Ari Tree,650,74,3.15,21,2009,2009,Yakoun R.,Queen Charlotte,Provincial land,,53.434361,-132.276694,,Yakoun River floodplain flats.  Approx 30 kms north of Queen Charlotte City off Q.C. mainline logging road.,Healthy.,Michael Carlson,,,,Michael Carlson,0
Sitka spruce,312,Yakoun Spruce #4,633,65.5,3.21,24,2009,2009,Yakoun R.,Queen Charlotte,Provincial land,,53.43475,-132.275389,,Yakoun River floodplain flats north of Queen Charlotte City off Q.C. mainline logging road.,Healthy with broken top.,Michael Carlson,,,,Michael Carlson,0
vine maple,313,,103,11.9,0.44,11,2006,2006,Central Park,Burnaby,Parks/reserves,Central Park,missing,,,"South of tennis courts in Central Park, Burnaby.",,Ralf Kelman,,,,Ralf Kelman,0
vine maple,314,,88,12.8,0.3,11,2006,2006,Brockton Oval,Vancouver,Parks/reserves,Stanley Park,missing,,,West of Brockton Oval in Stanley Park.,,Ralf Kelman,,,,Ralf Kelman,0
vine maple,315,,85,12.8,0.27,11,2006,2006,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.300935,-123.148827,,South of Tatlow Trail on Lover’s Walk in Stanley Park.,,Ralf Kelman,,,,Ralf Kelman,1
vine maple,316,,88,18.3,0.16,9.8,2006,2006,Musquem Park,Vancouver,Parks/reserves,Musquem Park,missing,,,"Musqueum Park, Vancouver.",,Ralf Kelman,,,,Ralf Kelman,0
Pacific yew*,317,,177,18.3,0.87,11,2006,2006,Suicide Creek,North Vancouver,Parks/reserves,Lower Seymour CR,missing,,,North side of Suicide Creek in Lower Seymour Conservation Reserve.,,R. Muirhead,,,,Ralf Kelman,0
grand fir*,318,Totem Giant,451,64.4,1.85,13.4,2020,2006,Totem Park Ravine,Vancouver,Parks/reserves,Pacific Spirit RP,49.255997,-123.253119,,Totem Park Ravine in Pacific Spirit Regional Park.,"Highest leaders died in 2018, but other leaders about 50cm below remain living, but thinning somewhat. No major storm damages noted in recent years. ",Ralf Kelman,Shaun Muc,,,Sutherland/O’Rourke,1
grand fir*,319,,413,59.8,1.64,16.9,2020,2006,Totem Park Ravine,Vancouver,Parks/reserves,Pacific Spirit RP,missing,,,"Bottom (near the beach) of Totem Park Ravine in Pacific Spirit Regional Park, located below tree #318","Tree has a severe lean, crown has thinned 10-15%  in past several years.",Ralf Kelman,Shaun Muc,,,Sutherland/O’Rourke,1
grand fir*,320,,422,62.5,1.66,14.6,2006,2006,Wesbrook M. Ravine,Vancouver,Parks/reserves,Pacific Spirit RP,missing,,,Wesbrook Mall Ravine in Pacific Spirit Regional Park.,,Ralf Kelman,Shaun Muc,,,Ralf Kelman,1
Garry oak,321,,313,30.2,1.55,27.1,2006,2006,Tzuhalem Rd,Duncan,First Nations,Cowichan Tribes,hidden,,,Private land - exact location is withheld.,Healthy.,Dave Polster,,,,Hans Roemer,1
Sitka spruce,322,,734,76.8,3.81,13.7,2006,2006,Upper Carmanah V.,Youbou,Unknown,,missing,,,Upper Carmanah Valley.,,Maywell Wickheim,,,,Maywell Wickheim,0
red alder,323,,272,30.4,1.24,21.6,2007,2007,Ikeda Cove,Moresby Camp,Parks/reserves,Gwaii Haanas NP,52.298439,-131.162574,,Ikeda Cove,Healthy.,A MacKinnon,,,,A MacKinnon,0
coastal Douglas-fir,325,,596,73.4,2.72,23,2002,2002,Royal Roads ,Colwood,Federal land,,missing,,,"Royal Roads. Take old road from gravel pit downhill to the SE. At intersection with N-S road, backtrack up about 35 m to find tree about 10 m from old road on left.",Vigorous.  A few small top branches are dead.,Hans Roemer,,,,Hans Roemer,0
coastal Douglas-fir,326,,511,62.5,2.36,18.5,2002,2002,Royal Roads ,Colwood,Federal land,,missing,,,About 80 m SE of glacial kettle hole which is located 300 m SW of racetrack/ playing field and 600 m WNW of castle.,Vigorous. Tree has bend in lower bole.,Hans Roemer,,,,Hans Roemer,0
