common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last_measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo formula,highside_DBH(m),top_lists,tree_sp_code,sp_split_range
amabilis fir,176,,421,45.7,2.11,12.5,1998,1998,Meares Island,Tofino,Provincial land,,missing,,,,,Adrian Dorst,,,,Adrian Dorst,c,0,,,1,1,
amabilis fir,1213,LT# 9609-001- OGMA,421,63.4,1.64,12.9,2022,2022,Mosquito Main,Port Renfrew,Provincial land,BCTS Legacy Tree,48.556835,-124.250832,511,,,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1213_Ba_Mosquito_GH1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1213_Ba_Mosquito_GH2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1213_Ba_Mosquito_GH3.jpg"" target=""_blank"">3</a>      ",,1,1,
amabilis fir,459,LT# C4DT-006,378,61,1.35,9.9,2019,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050167,-125.2725,545,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-006 is located in the CWHvm2(01) and is situated mid-slope. The slope (50%) has a N aspect. ,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/459_Ba_KL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/459_Ba_KL_2.jpg"" target=""_blank"">2</a>         ",,1,1,
amabilis fir,425,Staff of the Apostles,373,60,1.37,8.9,2016,2016,Carmanah Valley,Youbou,Parks/reserves,Carmanah Walbran PP,48.66511,-124.69069,,"Follow the upper creek trail towards the three sisters. It is a prominent, single-stemmed tree visible from the trail and approximately 50m off the left-hand side of the trail, a few minutes before the trail cuts through a giant fallen tree.","Straight and healthy, closed-grown tree on rolling valley bottom. Tree is at the edge of an small drop-off, and as such shows some minor butt sweep. First few meters of tree blanketed in moss.",Matthew Beatty,TJ Watt,Jon Degner,,Matthew Beatty,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/425_Ba_Apostles_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/425_Ba_Apostles_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/425_Ba_Apostles_3.jpg"" target=""_blank"">3</a>      ",,1,1,
amabilis fir,431,Two-Headed Boy,372,63,1.27,9,2016,2016,Stoltmann Grove,Youbou,Parks/reserves,Carmanah Walbran PP,48.6553,-124.69479,,"From the Carmanah Walbran parking lot (access from Rosander Main), follow signs for the Valley Mist trail. Where this trail hits a tee, go right following signs for the heaven tree/Stoltmann grove. Where the trail ends (at the large Sitka spruce with a prominent trailside burl), it tees into a dry creekbed running ~parallel to the active river system (NE - SW). The tree is ~75m heading left down the creekbed, on the right hand side. It can be viewed from points near the end of the trail, and from atop a fallen amabilis fir off to the right of the trail which goes over the creekbed.","Near the edge of a dry creekbed. Very narrow and straight, with a pronounced forked crown starting approximately 2/3 up the tree. Both tops are similar in height. Bark covered in moss for several meters. Much of the stem is visible from the vantage points.",Jon Degner,Vincent Hanlon,,,Vincent Hanlon,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/431_Ba_Two_headed_boy.jpg"" target=""_blank"">1</a>            ",,1,1,
amabilis fir,460,LT# C4DT-007,372,61,1.32,8.3,2019,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.0501,-125.2725,550,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-007 is located in the CWHvm2(03) and is situated on the upper slope (55%) with a N aspect. This is an area of medium to large colluvium originated on the near-vertical rock face 20m upslope.,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/460_Ba_KL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/460_Ba_KL_2.jpg"" target=""_blank"">2</a>         ",,1,1,
amabilis fir,458,LT# C4DT-005,364,58,1.32,10.8,2019,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050389,-125.271667,525,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-005 is located in the CWHvm2(01) and is situated on a small bench mid-slope with a NE aspect.,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/458_Ba_KL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/458_Ba_KL_2.jpg"" target=""_blank"">2</a>         ",,1,1,
amabilis fir,567,Wax Palm,363,61.1,1.27,6,2020,2021,Upper Valley Trail,Youbou,Parks/reserves,Carmanah Walbran PP,48.67264,-124.6809,188,Hike northward along Upper Valley Trail to gps location. The tree is inconspciously in a dense grove about 30m west of trail. - likely not possible to find without gps coordinates. ,Dense forest and adjacent to trail.,Ira Sutherland,Sharlene Kaoti-Salgado,,,Ira Sutherland,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/567_Ba_UpperValley_WaxPalm_IS.jpg"" target=""_blank"">1</a>            ",,1,1,
amabilis fir,457,LT# C4DT-004,358,56,1.35,10.3,2019,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050236,-125.271944,525,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-004 is located in the CWHvm2(01) and is situated on a small bench mid-slope with a NE aspect.,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/457_Ba_KL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/457_Ba_KL_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/457_Ba_KL_3.jpg"" target=""_blank"">3</a>      ",,1,1,
amabilis fir,568,,351,55.3,1.34,4.25,2020,2021,Upper Valley Trail,Youbou,Parks/reserves,Carmanah Walbran PP,48.66475,-124.69024,185,"Hike Northward along Upper Valley Trail to gps location. The tree is highly visible from the trail, at a point roughly 60m to the south. It is located only about 10m from the trail at the top of an eroding cut bank. ",Grows on upper bench with other Amabilis fir and some Sitka Spruce. Is located near to a cut bank being eroded by Carmanah River,Ira Sutherland,Sharlene Kaoti-Salgado,,,Ira Sutherland,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/568_Ba_UpperValley_2_IS_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/568_Ba_UpperValley_2_IS_2.jpg"" target=""_blank"">2</a>         ",,2,1,
amabilis fir,456,LT# C4DT-003,337,56,1.17,8.7,2019,2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050102,-125.271667,545,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-003 is located in the CWHvm2(07) and is situated midslope on a small colluvial fan with a near-vertical rock wall approximately 25m to the East. The slope is approximately one of 75% with a N aspect.,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/456_Ba_KL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/456_Ba_KL_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/456_Ba_KL_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/456_Ba_KL_4.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/456_Ba_KL_C4DT-003(5).jpg"" target=""_blank"">5</a>",,2,1,
amabilis fir,1123,,332,58.5,1.09,6.5,2022,2022,Frances Lake,Boothroyd,Parks/reserves,Nahatlatch PP,50.009377,-121.661267,304,"Boat access only. Drive up the Nahatlatch River and park near the first lake (Frances Lake). Paddle to a flat of land on the opposite side of the lake and hike to the tree, as per coordinates.",,Sean O'Rourke,Cullen Simcic-Higgins,,,Sean O'Rourke,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1123_Ba_Nahatlatch_SO_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1123_Ba_Nahatlatch_SO_2.jpg"" target=""_blank"">2</a>         ",,2,1,
amabilis fir,488,Loup Amabilis,,44,1.32,,2020,2020,Loup Creek,Port Renfrew,Tree Farm Lic.,46,48.69127,-124.437653,,Involves a bushwhack in from the forest service road running along Loop Creek.,,Matthew Beatty,TJ Watt,,,Matthew Beatty,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/488_Ba_LoupCreek_TW.jpg"" target=""_blank"">1</a>            ",,,1,
coastal Douglas-fir,47,Red Creek Fir,784,74,4.23,23,1998,1976,Red Creek,Port Renfrew,Provincial land,,48.579422,-124.222922,100,"For excellent driving directions from Victoria BC, see https://www.ancientforestalliance.org/directions-red-creek-fir.php.   The tree is located off Red Creek Mainline and is accessed along a trail approximately 1/2 km from the road.  The trail head GPS is -124.22668 by 48.57998. The actual tree location is -124.220905 by 48.579422.","It is one of largest known of its species and of the pine family. It is the only known tree on earth (except coast redwoods and giant sequoias) to be 7 feet thick, 144 feet off the ground.  The tree has a large, healthy crown, huge branches and a broken top. It is on a reserve.  Mid slope, toe mesoslope, aspect north.",Al Carder,,,,Al Carder,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/47_Fd_RedCr_TW_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/47_Fd_RedCr_TW_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/47_Fd_RedCr_GS_1.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/47_Fd_RedCr_TW_3.jpg"" target=""_blank"">4</a>   ",,1,40,
coastal Douglas-fir,273,Bonin Giant,726,65.8,3.98,21.9,2002,2002,Watershed,Coquitlam,Watersheds,Coquitlam Watershed,missing,,,No public access,Healthy with broken top and a high wood volume.  Base covered in debris.,Ralf Kelman,,,,Ralf Kelman,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/273_Df_Bonin_SM_3.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/273_Df_Bonin_SM_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/273_Df_Bonin_SM_1.jpg"" target=""_blank"">3</a>      ",,1,40,
coastal Douglas-fir,386,Big Lonely Doug,701,66,3.79,18.33,2014,2014,Gordon River V.,Port Renfrew,Tree Farm Lic.,46,48.64622,-124.45051,96,"Driving Directions from Port Renfrew to Big Lonely Doug
1. km 0.0 - start at the Port Renfrew Community Center/Fire
Station and drive down Deering Rd 0.2 km
2. km 0.2 - continue over single lane bridge 1.1 km
3. km 1.4 - turn right at fork and continue for 1.4 km
4. km 2.7 - cross Deering Bridge and turn left onto the Gordon River Main (right goes to Lake Cowichan)
5. Stay on the mostly-paved Gordon River Main and after
approximately 5 km it will become gravel and you
will hit a “Y” where you go LEFT and cross a high bridge
over the beautiful Gordon River.
6. After crossing the bridge keep on the Gordon River Main
for about 1.5 km, staying to the RIGHT at the next “Y”.
7. Shortly after you will cross a small bridge over a creek
(Baird Creek). This is the Avatar Grove, the newly popular old-growth forest hiking area!
8. Continue past the Avatar Grove on the Gordon River Main
for approximately 4.5 km and take your FIRST RIGHT onto
Edinburgh Main road. (Note: it’s a smaller looking road)
9. You will soon cross over a bridge above a very tall canyon
on the Gordon River. *Note: From here on 4x4 vehicles with
good clearance are recommended!
10. Follow the rough road as it veers uphill and then right. Continue
on the main road for approximately 5 minutes.
11. A giant clearcut from 2012 will appear on your right hand
side. In that clearcut you will see two big Douglas-firs left
standing - the second one is Big Lonely Doug.
*NOTE: The hike into Big Lonely Doug is through a difficult
clearcut and should ONLY be attempted by those with good
balance.","The tree stands alone in a clearcut from 2012 and is hard to miss. It has a straight trunk, a broken top, and still has most of it's branches but did recently lose one of it's biggest in a wind storm. The hike into Big Lonely Doug is through difficult logging slash and should only be attempted by those with good balance.",TJ Watt,Ken Wu,,,A MacKinnon,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/386_Big-Lonely-Doug.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/386_Big-Lonely-Doug-clearcut-2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/386_Big-Lonely-Doug-Ken-Wu.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/386_Big-Lonely-Doug-Climb-94-2.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/386_Big-Lonely-Doug-Climb-355.jpg"" target=""_blank"">5</a>",,1,40,
coastal Douglas-fir,453,Alberni Giant 1513-002,683,65,3.64,24.1,2019,2019,Riverside Main,Port Alberni,Provincial land,BCTS Legacy Tree,49.187109,-125.0825,125,"Follow Hiway 4 west through Port Alberni. After crossing the 'Orange' bridge over the Somass River, drive 0.6km and then turn left on to McCoy Lake Road. Follow McCoy Lake Road to the junction with Stirling Arm Drive. Follow Stirling Arm Drive to the intersection with Ash Main. Turn left onto Ash Main and drive 1km to the junction with Stirling Main. turn right onto Stirling Main and follow it for 12km to the junction with Gracie Main. Turn left onto Gracie Main and follow it for 6km to the junction with Gracie Hook-up. Keep right onto the Gracie Hook-up and follow it for 2km to the junction with Nahmint Main. Turn right onto Nahmint Main and drive 1.2km to the bridge crossing the Nahmint River. Once across the one-lane bridge, drive 0.2km to the junction with Riverside Main. Turn left onto Riverside Main and drive 1.7km to Block 1513 located on the west side of the road. If you drive past a small weedy lake to your right, you have driven past Block 1513 and the tree. There is a small road on your right just past the lake which makes a convenient turnaround. The tree is very visible along the skyline beyond the southern boundary of Block 1513. There is a rough trail from the road (approximately 20m past the southern falling boundary of the block that leads up to 1513-002. You will pass a large Western Redcedar (Legacy Tree 1513-001, 3.15m in diameter or 9.9m in circumference) as you climb the slope up to 1513-002. There is another large Western Redcedar (Legacy Tree 1513-003, 3.11m in diameter or 9.8m in circumference) located approximately 25m up slope of 1513-002. All trees are marked with bright yellow BCTS Legacy Tree plaques. Use caution when traveling on gravel Forest Service roads. These are active industrial roads and expect to meet large vehicles at any time!",1513-002 is a Douglas-fir in good health. There are no apparent signs of rot present upon a visual inspection of the tree. The tree is largely intact with only a few small broken limbs present in the upper portion of the canopy. there are several moderate-sized burls (approximately 1m across and flattened) on the up-slope side of the tree. It is located within the CWH vm1 and is situated on a small bench located on the lower slope with a NE aspect. The tree can be considered to be windfirm as it is sheltered within a 12.1 hectare Old Growth Management Area. This OGMA contains several other Legacy Trees (two Western Redcedar; 1513-001 and 1513-003).There is minimal evidence of historic windthrow in the vicinity of 1513-002 or throughout the OGMA. ,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/453_Df_Nahm_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/453_Df_Nahm_5.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/453_Df_Nahm_6.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/453_Df_Nahm_7.jpg"" target=""_blank"">4</a>   ",,1,40,
coastal Douglas-fir,275,Temple Giant,675,85.3,3.05,21.9,2002,2002,Lower Seymour CR,North Vancouver,Parks/reserves,Lower Seymour CR,49.394866,-123.005426,,Temples of Time Grove.  5 km west of mainline.,Big healthy crown with a  high wood volume.  This tree was found with a wind damaged top at 280’.  It is estimated to have been over 300' tall.  Steep slope.,Ralf Kelman,,,,Ralf Kelman,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/275_Fd_SeymourTempleofTime_IS_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/275_Fd_SeymourTempleofTime_IS_2.jpg"" target=""_blank"">2</a>         ",,1,40,
coastal Douglas-fir,121,Crown Creek Fir,673,72.2,3.4,19.5,1992,1992,Crown Creek,North Vancouver,Watersheds,Capilano Watershed,no access,,720,No public access,"The tree has a broken top.  Northwest aspect, 85% slope, mid-slope, straight. Montane.",Ralf Kelman,,,,Ralf Kelman,c,0,,,1,40,
coastal Douglas-fir,576,LT# 068-013,660,59.4,3.62,21.7,2019,2021,Nahmint,Port Alberni,Provincial land,BCTS Legacy Tree,hidden,,,Sensitive ecosystem - exact location withheld,Very good health. Windfirm. Located in large OGMA.,BCTS Legacy Trees,,,,Greg Herringer,c,0,            ,,1,40,
coastal Douglas-fir,572,LT# 2521-002,658,57.6,3.64,22.9,2020,2021,West Antler,Port Alberni,Provincial land,BCTS Legacy Tree,49.246364,-125.171022,590,West Antler Main. Steep rough road.,Very good health. Intact top,BCTS Legacy Trees,,,,Greg Herringer,c,0,            ,,1,40,
coastal Douglas-fir,1191,Heimdallr Fir LT# 2521-002,658,57.6,3.64,22.9,2019,2022,West Antler,Port Alberni,Provincial land,BCTS Legacy Tree,49.245778,-125.170615,,,,BCTS Legacy Trees,,,,Greg Herringer,c,,,,1,40,
coastal Douglas-fir,1228,Laminar Fir,654,79.3,3.07,18,2022,2022,Pipe Dream,Youbou,Tree Farm Lic.,44 OGMA,48.925765,-124.590633,382,"Notes current to Dec. 2022. No gates or deactivated roads. Directions from Cassy's Coffee House in Youbou. Travel 24.6km west along North Shore Road and turn right onto Nitinat Main. After 4.1km, turn left onto NT2. Cross the bridge at 1.1km and stay left at the fork at 1.3km. Stay left at the fork at 2.3km. Stay right at the fork at 7.4km. Stay left at the fork at 9.1km. At 9.7km, turn right onto the branch road. At 500m stay left at the fork. At 1.2km, stay left at the fork. At 1.9km, turn left onto the spur. Follow road until recent cutblock on both sides of the road (logged 2019). Park at a pullout and hike uphill through the cutblock to access Pipe Dream! Enter the cutblock at the large fir on the edge of the cutblock, just past several large stumps. Hike south through the old growth 220m until you come to an open area with many large firs. Hike southwest about 280m until the aspect changes from E to SE. The Laminar fir is just around the bend when the aspect changes.","The Laminar Fir is an absolutely massive pillar of wood, nearly perfectly cylindrical for dozens of meters, with one large branch mid-way up and a somewhat flattened top. Situated at the edge of an open patch of forest, the entire tree is visible from both upslope and downslope, with many other large firs nearby. ",Jon Degner,,,,Jon Degner,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1228_Fdc_Laminar_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1228_Fdc_Laminar_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1228_Fdc_Laminar_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1228_Fdc_Laminar_4.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1228_Fdc_Laminar_5.jpg"" target=""_blank"">5</a>",,1,40,
coastal Douglas-fir,102,Cathedral Grove #1,645,70.1,3.22,20.7,1990,1990,Catherdral Grove,Alberni,Parks/reserves,MacMillan PP,missing,,,,"This tree was once the tallest in Cathedral Grove and one of BC's largest Douglas-fir on record. In 1990, it stood 70.1 m (230 ft) tall with a score of 645 points.  A major windstorm in January 1997 swept through the area and reduced this tree to a little over 100ft in height.  Those surviving the storm, which are now the tallest in the grove, have yet to be nominated.",Randy Stoltmann,,,,Randy Stoltmann,c,0,,,,40,
coastal Douglas-fir,248,Elk Creek Fir,639,85.3,2.76,22.3,2001,2001,Elk Creek,Chilliwack,Provincial land,,missing,,,"West side of Elk Creek, Chilliwack District watershed.",Very healthy with broken top and big crown.,Shaun Muc,Ralph Kelman,Clint Marvin,,Shaun Muc,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/248_Df_Elk_SM.jpg"" target=""_blank"">1</a>            ",,2,40,
