common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo formula
coastal Douglas-fir,267,,479,67.7,1.97,17,2002,2002,John Dean PP,North Saanich,Parks/reserves,John Dean PP,missing,,,"From parking lot take trail down to former picnic ground, growing somewhat of an opening.",Healthy.,Hans Roemer,,,,Hans Roemer,c,0,
coastal Douglas-fir,268,,470,69.1,1.82,21.5,2002,2002,John Dean PP,North Saanich,Parks/reserves,John Dean PP,missing,,,From parking lot take trail down to former picnic ground. Closest large tree to the north of picnic ground.,Healthy.,Hans Roemer,,,,Hans Roemer,c,0,
coastal Douglas-fir,270,,465,69.2,1.81,16.5,2002,2002,John Dean PP,North Saanich,Parks/reserves,John Dean PP,missing,,,From #3 tree towards pond. The northerly of two firs standing close to each other with intertwined crowns.,Healthy.,Hans Roemer,,,,Hans Roemer,c,0,
coastal Douglas-fir,271,,438,65.1,1.7,16,2002,2002,John Dean PP,North Saanich,Parks/reserves,John Dean PP,missing,,,"From parking lot take trail down past former picnic ground, then take first trail on road marked “closed” down almost to culvert. Free standing tree in draw on right.",Healthy.,Hans Roemer,,,,Hans Roemer,c,0,
coastal Douglas-fir,273,Bonin Giant,726,65.8,3.98,21.9,2002,2002,Watershed,Coquitlam,Watersheds,Coquitlam Watershed,missing,,,No public access,Healthy with broken top and a high wood volume.  Base covered in debris.,Ralf Kelman,,,,Ralf Kelman,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/273_Df_Bonin_SM_3.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/273_Df_Bonin_SM_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/273_Df_Bonin_SM_1.jpg"" target=""_blank"">3</a>      "
coastal Douglas-fir,274,Alexander Giant,628,66.4,3.16,22.6,2002,2002,Watershed,Coquitlam,Watersheds,Coquitlam Watershed,missing,,,No public access,,Derek Bonin,,,,Ralf Kelman,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/274_Df_Alexander_SM.jpg"" target=""_blank"">1</a>            "
coastal Douglas-fir,275,Temple Giant,675,85.3,3.05,21.9,2002,2002,Lower Seymour CR,North Vancouver,Parks/reserves,Lower Seymour CR,49.394866,-123.005426,,Temples of Time Grove.  5 km west of mainline.,Big healthy crown with a  high wood volume.  This tree was found with a wind damaged top at 280’.  It is estimated to have been over 300' tall.  Steep slope.,Ralf Kelman,,,,Ralf Kelman,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/275_Fd_SeymourTempleofTime_IS_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/275_Fd_SeymourTempleofTime_IS_2.jpg"" target=""_blank"">2</a>         "
Garry oak,276,,317,30.2,1.62,21.9,2002,2002,Quamichan Lake,Maple Bay,Private land,,hidden,,,Private land - exact location is withheld.,"This tree is moderately healthy, with broken vertical limbs. This tree is located on a private nature reserve.  The exact location is withheld, however the Nature Conservancy of Canada offers public tours and guided trips to the tree.   For more information please contact the NCC-BC Region Headquarters in Victoria (250) 479-3191 or bcoffice@natureconservancy.ca.",Tim Ennis,,,,Kevin Brown,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/276_Qg_Quam_TE_1.jpg"" target=""_blank"">1</a>            "
Garry oak,277,,300,21.5,1.71,21.8,2002,2002,Quamichan Lake,Maple Bay,Private land,,missing,,,Private land - exact location is withheld.,Very healthy.,Jim Shockey,,,,Kevin Brown,b,0,
trembling aspen^,279,,194,28.7,0.74,10.1,2002,2002,Okanagan Falls,Okanagan Falls,Unknown,,missing,,,15 km east of Okanagan Falls.,,Shaun Muc,,,,Shaun Muc,b,0,
subalpine fir^,280,,228,39.2,0.76,6,2002,2002,Takla Lake,Smithers,Provincial land,,missing,,,Takla Lake is next to Mt. Blanchet Provincial Park. Km 85.5 driftwood FSR connector.,"Healthy, conical form.",Donald Skinner,,,,Donald Skinner,c,0,
arbutus,281,,398,27,2.26,25.6,2021,2002,Nanoose Transmit,Parksville,Woodlot Lic.,13,49.27415,-124.222067,,"Nanoose Transmitter Site, Woodlot #13.",Healthy.,Tom Gray,,,,Tom Gray,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/281_Ra_Nanoose_BB_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/281_Ra_Nanoose_AL_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/281_Ra_Nanoose_AL_2.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/281_Ra_Nanoose_AL_3.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/281_Ra_Nanoose_BB_2.jpg"" target=""_blank"">5</a>"
subalpine larch,282,,,,1.05,,2002,2002,Cathedral PP,Keremeos,Parks/reserves,Cathedral PP,missing,,,"On the East side of Ladyslipper Trail, half way between Ladyslipper Lake and Pyramid Lake in Cathedral Provincial Park.",Healthy. A very large branch comes off the trunk 4 meters above the ground.,David and Bernice Doyle,,,,,c,0,
subalpine larch,283,,,,0.96,,2002,2002,Cathedral PP,Keremeos,Parks/reserves,Cathedral PP,missing,,,"On the East side of Ladyslipper Trail, half way between Ladyslipper Lake and Pyramid Lake in Cathedral Provincial Park.",Healthy with broken top.,David and Bernice Doyle,,,,,c,0,
Pacific yew*,284,,,,0.63,,2002,2002,Chatham Island,Oak Bay,First Nations,,missing,,,"First Nation Reserve - please contact First Nations for permission.  Tree is on the west side of Chatham Island, off Oak Bay. At edge of beach, in full sun in open field. Easily visible from a boat.",Healthy.,Bruce Whittington,,,,,c,0,
grand fir*,286,,444,70.4,1.65,11,2003,2003,Koksilah River PP,Shawnigan Lake,Parks/reserves,Koksilah River PP,missing,,,"Located 3.5km upstream of Burnt Bridge and 0.9km NW of NW corner of Grant Lake. Ca. 15m from river bank next to hollow, live CW.",Top of crown is thinning out.,Hans Roemer,,,,Hans Roemer,c,0,
grand fir*,287,,421,71,1.46,7.9,2003,2003,Goldstream PP,Langford,Parks/reserves,Goldstream PP,missing,,,"On edge of pavement between bridge and Mt. Finlayson trailhead, on right (SE) side of road.",Double-top (forked).,Hans Roemer,,,,Hans Roemer,c,0,
Pacific crab apple,289,Lannan Crabapple,114,15.7,0.41,13.4,2003,2003,Lannan Forest,Courtenay,Unknown,,49.704275,-124.941072,,When nominated the tree was located in the Lannan Forest. Current tree and landownership status is unknown.,"Some rotten branches, otherwise healthy.",Diana Caldwell,,,,Chris Walther,b,0,
cascara*,290,,111,17.8,0.35,12.4,2003,2003,Lannan Forest,Courtenay,Unknown,,49.704975,-124.941211,,When nominated the tree was located in the Lannan Forest. Current tree and landownership status is unknown.,Healthy.,Shirley Ward,,,,Chris Walther,b,0,
trembling aspen*,291,Lannan Aspen #1,178,31.55,0.52,12.55,2003,2003,Lannan Forest,Courtenay,Unknown,,missing,,,When nominated the tree was located in the Lannan Forest. Current tree and landownership status is unknown.,Bracket fungus on trunk at 1.2 m height.,Ryan Hildegard,,,,Chris Walther,b,0,
black cottonwood*,292,,459,50.14,2.2,28,2014,2003,Landstrom Bar,Hope,Provincial land,,49.3788,-121.4686,25,"Tree is located just south of the old KVR rail line, the line can be accessed from Highway 7 or from the trail at the end of Landstrom Road (see the trail and topographic access maps).  Near Hope - NTS92 H/6 west side.",Healthy.,Anthony Dal Bello,,,,Anthony Dal Bello,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/292_Act_Land_AD_3.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/292_Act_Land_AD_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/292_Act_Land_AD_1.jpg"" target=""_blank"">3</a>      "
interior Douglas-fir,293,Gigi’s Giant,384,45.6,1.79,11.1,2019,2003,Lower Goat R. Trail,Crescent Spur,Provincial land,McBride Comm. For.,53.53297,-120.65247,815,The tree is located 3.8 km south along Lower Goat River trail (aka. Lasalle Lakes Trail) from Crescent spur trail head (east end of Prospect Rd.).  See access maps for more details.,"Healthy, but with several fungal fruiting bodies on forest floor around base, believed to be Polyporus schweinitzii. No broken tops, burls, or stem conks. Ground generally level. Mixed ICH moist forest.",Roy Howard,,,,Roy Howard,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/293_Fdi_lgr_JW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/293_Fdi_lgr_RH_1.jpg"" target=""_blank"">2</a>         "
yellow-cedar*,294,Corporal Anderson,533,37.4,3.23,11.7,2005,2005,White River,Sayward,Tree Farm Lic.,39,missing,,,"White River ""A Branch"" (A600).","Broken, dead top. Tree is leaning ~15°, 110° east. Located 10 m from edge of Wildlife Tree patch.",Dan Wagar,,,,Bill Beese,c,0,
Pacific yew*,295,,169,21.3,0.73,11,2006,2006,NW Coquitlam Lake,Coquitlam,Watersheds,Coquitlam Watershed,missing,,,No public access,,Derek Bonin,,,,Ralf Kelman,c,0,
coastal Douglas-fir,296,,625,76.2,2.91,18.3,2006,2006,NW Coquitlam Lake,Coquitlam,Watersheds,Coquitlam Watershed,missing,,,No public access,,Derek Bonin,,,,Ralf Kelman,c,0,
yellow-cedar*,297,Sir Daniel Samson,618,46.4,3.69,12.2,2006,2006,Tlowils Lake,Sayward,Tree Farm Lic.,39,50.277199,-126.005075,,"Between White R. and Adam R., north of Tlowils Lake; south of Sayward.",Old tree with a dead top.,Wayne Nikolaisen,Tyson Knowles,,,Bill Beese,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/297_Yc_Tlow_MM_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/297_Yc_Tlow_MM_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/297_Yc_Tlow_MM_3.jpg"" target=""_blank"">3</a>      "
western redcedar*,298,Goliath,621,56.45,3.43,14.28,2005,2005,Campbell River,Campbell River,Institution/corp.,Brascan Is. Timberlands,missing,,,Just south of Campbell River.,,Bryce Saarela,Marcel Mousseau,,,Bryce Saarela,c,0,
Pacific crab apple,300,,154,11.6,0.78,23.2,2006,2006,Shell Rd,Richmond,Municipal/city,,missing,,,South end of Shell Rd. in Richmond.,,Ralf Kelman,,,,Ralf Kelman,b,0,
paper birch*,301,,246,33.5,0.94,24.4,2006,2006,Musquem Park,Vancouver,Parks/reserves,Musquem Park,missing,,,West side of creek in Musqueum Park.,,Ralf Kelman,,,,Ralf Kelman,b,0,
paper birch*,302,,225,30.8,0.89,17.1,2006,2006,Musquem Park,Vancouver,Parks/reserves,Musquem Park,49.232487,-123.194564,,East side of creek in Musqueum Park.,,Ralf Kelman,,,,Ralf Kelman,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/302_Ep_Musq_SK_1.jpg"" target=""_blank"">1</a>            "
grand fir*,303,,410,62.8,1.58,9.8,2006,2006,Wreck Beach,Vancouver,Parks/reserves,Pacific Spirit RP,missing,,,"North of trail #7 at Wreck Beach, located in Pacific Spirit Regional Park.",,Greg Stoltmann,,,,Ralf Kelman,c,0,
grand fir*,304,,392,61.9,1.46,11,2006,2006,Wreck Beach,Vancouver,Parks/reserves,Pacific Spirit RP,missing,,,"North of trail #7 at Wreck Beach, located in Pacific Spirit Regional Park.",,Greg Stoltmann,,,,Ralf Kelman,c,0,
black hawthorn ,305,,119,12.8,0.57,8.5,2006,2006,Ironwood Grove,Richmond,Municipal/city,,missing,,,"South end of Shell Rd., Richmond.",,Mary Jewell,,,,Ralf Kelman,b,0,
black hawthorn ,306,,110,12.2,0.5,9.8,2006,2006,Granville Island,Vancouver,Municipal/city,City of Vancouver,missing,,,South of historic railway tracks near station at Granville Island.,,Mary Jewell,,,,Ralf Kelman,b,0,
shining willow*,307,,135,18.3,0.53,11,2006,2006,Point Grey,Vancouver,Municipal/city,City of Vancouver,missing,,,"Point Grey, North of Aberthau Community Centre.",,Mary Jewell,,,,Ralph Kelman,b,0,
Scoulers willow,308,,,10.7,0.69,,2006,2006,Point Grey,Vancouver,Municipal/city,City of Vancouver,missing,,,"Point Grey, North of Aberthau Community Centre.",,Mary Jewell,,,,Ralf Kelman,b,0,
Sitka spruce,309,Braedon and Toby Tree,728,78.5,3.69,16,2011,2009,Yakoun R.,Queen Charlotte,Provincial land,,53.434111,-132.277361,,Yakoun River floodplain flats.  Approx 30 kms north of Queen Charlotte City off Q.C. mainline logging road.,Healthy.,Michael Carlson,,,,Michael Carlson,c,0,
Sitka spruce,311,Alma and Ari Tree,650,74,3.15,21,2009,2009,Yakoun R.,Queen Charlotte,Provincial land,,53.434361,-132.276694,,Yakoun River floodplain flats.  Approx 30 kms north of Queen Charlotte City off Q.C. mainline logging road.,Healthy.,Michael Carlson,,,,Michael Carlson,c,0,
Sitka spruce,312,Yakoun Spruce #4,633,65.5,3.21,24,2009,2009,Yakoun R.,Queen Charlotte,Provincial land,,53.43475,-132.275389,,Yakoun River floodplain flats north of Queen Charlotte City off Q.C. mainline logging road.,Healthy with broken top.,Michael Carlson,,,,Michael Carlson,c,0,
vine maple,313,,103,11.9,0.44,11,2006,2006,Central Park,Burnaby,Parks/reserves,Central Park,missing,,,"South of tennis courts in Central Park, Burnaby.",,Ralf Kelman,,,,Ralf Kelman,b,0,
vine maple,314,,88,12.8,0.3,11,2006,2006,Brockton Oval,Vancouver,Parks/reserves,Stanley Park,missing,,,West of Brockton Oval in Stanley Park.,,Ralf Kelman,,,,Ralf Kelman,b,0,
vine maple,315,,85,12.8,0.27,11,2006,2006,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.300935,-123.148827,,South of Tatlow Trail on Lover’s Walk in Stanley Park.,,Ralf Kelman,,,,Ralf Kelman,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/315_Mv_Stan_TD_1.jpg"" target=""_blank"">1</a>            "
vine maple,316,,88,18.3,0.16,9.8,2006,2006,Musquem Park,Vancouver,Parks/reserves,Musquem Park,missing,,,"Musqueum Park, Vancouver.",,Ralf Kelman,,,,Ralf Kelman,b,0,
Pacific yew*,317,,177,18.3,0.87,11,2006,2006,Suicide Creek,North Vancouver,Parks/reserves,Lower Seymour CR,missing,,,North side of Suicide Creek in Lower Seymour Conservation Reserve.,,R. Muirhead,,,,Ralf Kelman,c,0,
grand fir*,318,Totem Giant,451,64.4,1.85,13.35,2020,2006,Totem Park Ravine,Vancouver,Parks/reserves,Pacific Spirit RP,49.255997,-123.253119,,Totem Park Ravine in Pacific Spirit Regional Park.,"Highest leaders died in 2018, but other leaders about 50cm below remain living, but thinning somewhat. No major storm damages noted in recent years. ",Ralf Kelman,Shaun Muc,,,Sutherland/O’Rourke,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/318_Bg_TotemGiant_IS_3.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/318_Bg_TotemGiant_IS_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/318_Bg_TotemGiant_IS_1.jpg"" target=""_blank"">3</a>      "
grand fir*,319,,413,59.8,1.64,16.9,2020,2006,Totem Park Ravine,Vancouver,Parks/reserves,Pacific Spirit RP,missing,,,"Bottom (near the beach) of Totem Park Ravine in Pacific Spirit Regional Park, located below tree #318","Tree has a severe lean, crown has thinned 10-15%  in past several years.",Ralf Kelman,Shaun Muc,,,Sutherland/O’Rourke,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/319_Bg_Totem_IS_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/319_Bg_Totem_IS_1.jpg"" target=""_blank"">2</a>         "
grand fir*,320,,422,62.5,1.66,14.6,2006,2006,Wesbrook M. Ravine,Vancouver,Parks/reserves,Pacific Spirit RP,missing,,,Wesbrook Mall Ravine in Pacific Spirit Regional Park.,,Ralf Kelman,Shaun Muc,,,Ralf Kelman,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/320_Bg_Wesbrook_SK_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/320_Bg_Wesbrook_SK_2.jpg"" target=""_blank"">2</a>         "
Garry oak,321,,313,30.2,1.55,27.1,2006,2006,Tzuhalem Rd,Duncan,First Nations,Cowichan Tribes,hidden,,,Private land - exact location is withheld.,Healthy.,Dave Polster,,,,Hans Roemer,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/321_Qg_Tzuh_DPo_1.jpg"" target=""_blank"">1</a>            "
Sitka spruce,322,,734,76.8,3.81,13.7,2006,2006,Upper Carmanah V.,Youbou,Unknown,,missing,,,Upper Carmanah Valley.,,Maywell Wickheim,,,,Maywell Wickheim,c,0,
red alder,323,,272,30.4,1.24,21.6,2007,2007,Ikeda Cove,Moresby Camp,Parks/reserves,Gwaii Haanas NP,52.298439,-131.162574,,Ikeda Cove,Healthy.,A MacKinnon,,,,A MacKinnon,b,0,
coastal Douglas-fir,325,,596,73.4,2.72,23,2002,2002,Royal Roads ,Colwood,Federal land,,missing,,,"Royal Roads. Take old road from gravel pit downhill to the SE. At intersection with N-S road, backtrack up about 35 m to find tree about 10 m from old road on left.",Vigorous.  A few small top branches are dead.,Hans Roemer,,,,Hans Roemer,c,0,
coastal Douglas-fir,326,,511,62.5,2.36,18.5,2002,2002,Royal Roads ,Colwood,Federal land,,missing,,,About 80 m SE of glacial kettle hole which is located 300 m SW of racetrack/ playing field and 600 m WNW of castle.,Vigorous. Tree has bend in lower bole.,Hans Roemer,,,,Hans Roemer,c,0,
coastal Douglas-fir,327,,488,63.2,2.17,15,2002,2002,Royal Roads ,Colwood,Federal land,,missing,,,On the western end of an “island” of tall conifers located ca. 400 m NE of the gravel pit. Island is surrounded by alder swamps and pastures.,The top 8m of the tree is dead.,Hans Roemer,,,,Hans Roemer,c,0,
coastal Douglas-fir,328,,463,59.2,2.08,14.9,2002,2002,Royal Roads,Colwood,Federal land,,missing,,,"From intersection of old road coming down from gravel pit with N-S road follow foot of slope to the SE. Tallest tree, about 20 m from edge of alder swamp.",Healthy.,Hans Roemer,,,,Hans Roemer,c,0,
grand fir*,329,,405,64.6,1.46,14,2002,2002,Royal Roads,Colwood,Federal land,,missing,,,Immediately uphill from intersection between road coming down from gravel pit and N-S road.,Healthy.,Hans Roemer,,,,Hans Roemer,c,0,
grand fir*,330,,378,56.4,1.5,9.8,2002,2002,Royal Roads,Colwood,Federal land,,missing,,,On flat ground off west edge of glacial kettle hole which is located 300 m SW of racetrack/playing field and 500 m WNW of castle.,Large forked crown.,Hans Roemer,,,,Hans Roemer,c,0,
grand fir*,331,,369,57,1.4,10.7,2002,2002,Royal Roads,Colwood,Federal land,,missing,,,Near fence north of pistol range located ca. 500 m WSW of castle.,Healthy.,Hans Roemer,,,,Hans Roemer,c,0,
grand fir*,332,,364,59.9,1.28,10.7,2002,2002,Royal Roads,Colwood,Federal land,,missing,,,On SW edge of glacial kettle hole which is located 300 m SW of racetrack/playing field and 500 m WNW of castle. On upper slope of kettle.,Some stem deformity.,Hans Roemer,,,,Hans Roemer,c,0,
Engelmann spruce,333,,,56.3,1,,2007,2007,Clendinning,Squamish,Tree Farm Lic.,,50.422728,-123.603253,,Near Clendinning Provincial Park.,Healthy.,Frances Swan,,,,Chris Mulvihill,c,0,
yellow-cedar*,336,,447,41.5,2.43,12.4,2021,2008,Marion Creek,Port Alberni,Tree Farm Lic.,,49.2076,-125.313863,630,Access is a steep climb up from Marion Creek FSR through old growth (approximately one hour climb) on very steep and broken terrain.,"CWHvm2.  When first measured in 2008 by Hans Roemer, this tree was the tallest on record at 60.5m. The top has since broken.  ",Craig Wagnell,,,,Herringer/Sutherland,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/336_Yc_Mari_CW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/336_Yc_Mari_GH_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/336_Yc_Mari_GH_2.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/336_Yc_Mari_GH_3.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/336_Yc_Mari_GH_4.jpg"" target=""_blank"">5</a>"
yellow-cedar*,337,,454,45.8,2.37,13.4,2021,2008,Marion Creek,Port Alberni,Tree Farm Lic.,,49.207403,-125.314368,650,Access is a steep climb up from Marion Creek FSR through old growth (approximately one hour climb) on very steep and broken terrain.,CWHvm2 ,Craig Wagnell,,,,Herringer/Sutherland,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/337_Yc_Mari2_CW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/337_Yc_Mari2_GH_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/337_Yc_Mari2_GH_2.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/337_Yc_Mari2_GH_3.jpg"" target=""_blank"">4</a>   "
trembling aspen^,338,,244,38.27,0.88,11,2009,2009,Wild Rose Bay,Shuswap,Provincial land,,missing,,,,Healthy.,David New,,,,David New,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/338_P1060663.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/338_P1060658.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/338_P1060661.jpg"" target=""_blank"">3</a>      "
interior Douglas-fir,339,,292,33.8,1.36,15.6,2009,2009,Savory Ridge,Vanderhoof,Provincial land,Savory Ridge Ung. WR,54.021681,-125.261739,,Savory Ridge Ungulate Winter Range/North shore of Francois Lake. Approximately 100 km due west of Vanderhoof.  The co-ordinates for this tree are approximate.  The tree is growing in the middle of a large opening with only scattered smaller Fdi and At.,"No obvious pathogens, however the crown is thinning substantially.",Derek Lefler,Kathleen Hebb,,,Derek Lefler,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/339_Fdi_Savo_DL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/339_Fdi_Savo_DL_2.jpg"" target=""_blank"">2</a>         "
tamarack,340,,93,19,0.23,4,2009,2009,Bobtail Lake,Vanderhoof,Unknown,,53.546199,-123.483005,,75 km SE of Vanderhoof.,Healthy.,Derek Lefler,Kathleen Hebb,,,Derek Lefler,c,0,
Pacific yew*,341,,193,20,0.96,9.7,2009,2009,Quatse Lake,Port Hardy,Tree Farm Lic.,6,50.656395,-127.547346,,About 2.5 km north of Quatse Lake.,Healthy with forked top.,Jack Broekhuizen,,,,Jon Flintoft,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/341_Tw_Quatse_JF_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/341_Tw_Quatse_JF_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/341_Tw_Quatse_JF_3.jpg"" target=""_blank"">3</a>      "
Ponderosa pine,342,,318,35.9,1.53,13.5,2010,2010,Kalamalka PP,Coldstream,Parks/reserves,Kalamalka PP,50.20482,-119.27278,,,"Dead top, otherwise healthy.",Leila Ward,,,,Michael Carlson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/342_Pp_KalaPP_MC_1.jpg"" target=""_blank"">1</a>            "
red alder,343,,236,26.9,1.11,12,2011,2011,Jedway Townsite,Moresby Camp,Parks/reserves,Gwaii Haanas NP,52.293944,-131.217583,,"Jedway Townsite is in Harriet Harbour, Skincuttle Inlet, Gwaii Haanas NP.",Healthy.,Michael Carlson,,,,Michael Carlson,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/343_Dr_Jedway_MC_1.jpg"" target=""_blank"">1</a>            "
Sitka spruce,344,Windy Bay Spruce #2,660,68,3.44,15,2011,2011,Windy Bay,Moresby Camp,Parks/reserves,Gwaii Haanas NP,52.690333,-131.461167,,Lyell Island.,Healthy.,Michael Carlson,,,,Michael Carlson,c,0,
Sitka spruce,345,Windy Bay Spruce #3,640,58,3.5,20,2011,2011,Windy Bay,Moresby Camp,Parks/reserves,Gwaii Haanas NP,52.690528,-131.457972,,Lyell Island.,"Double/multiple top, otherwise healthy.",Michael Carlson,,,,Michael Carlson,c,0,
Sitka spruce,346,Windy Bay Spruce #4,602,66.5,2.99,17,2011,2011,Windy Bay,Moresby Camp,Parks/reserves,Gwaii Haanas NP,52.691889,-131.459333,,Lyell Island.,Healthy.,Michael Carlson,,,,Michael Carlson,c,0,
Sitka spruce,347,Windy Bay Spruce #5,632,71.2,3.12,15,2011,2011,Windy Bay,Moresby Camp,Parks/reserves,Gwaii Haanas NP,52.690833,-131.462778,,Lyell Island.,Healthy.,Michael Carlson,,,,Michael Carlson,c,0,
Sitka spruce,348,Yakoun Spruce #5,700,71,3.66,16.5,2011,2011,Yakoun R.,Queen Charlotte,Provincial land,,53.432944,-132.276445,,Yakoun River floodplain flats.  Approx 30 kms north of Queen Charlotte City off Q.C. mainline logging road.,Healthy.,Peter McAuliffe,,,,Peter McAuliffe,c,0,
Sitka spruce,349,Yakoun Spruce #6,637,60.5,3.44,17.5,2011,2011,Yakoun R.,Queen Charlotte,Provincial land,,53.433722,-132.277944,,Yakoun River floodplain flats.  Approx 30 kms north of Queen Charlotte City off Q.C. mainline logging road.,Healthy.,Peter McAuliffe,,,,Peter McAuliffe,c,0,
Sitka spruce,350,Yakoun Spruce #7,605,63.2,3.12,14,2011,2011,Yakoun R.,Queen Charlotte,Provincial land,,53.433555,-132.277361,,Yakoun River floodplain flats.  Approx 30 kms north of Queen Charlotte City off Q.C. mainline logging road.,Healthy.,Peter McAuliffe,,,,Peter McAuliffe,c,0,
interior Douglas-fir,351,,360,42.9,1.69,12.6,2011,2011,Oyama,Lake Country,Provincial land,,50.112778,-119.311917,1166,Approximately 8 km on the Oyama Lake Rd.,Healthy.,Ed Schmidt,,,,Michael Carlson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/351_Fdi_Oyama_MC_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/351_Fdi_Oyama_MC_1.jpg"" target=""_blank"">2</a>         "
